Date,Zipcode,Viral Load,Positivity Rate,Unvaccinated Rate,DP05_0001E,S1701_C02_001E,S1501_C01_005E,S1501_C01_012E,Below Poverty Line %,Bachelor Degree Total %
07/06/2020-07/13/2110,77336,525,30,51,4669,650,14,474,0.13921610623259797,0.1045191689869351
07/06/2020-07/13/2111,77338,597,4,44,6858,983,19,633,0.14333624963546224,0.09507144940215806
07/06/2020-07/13/2112,77339,155,43,38,4153,410,48,699,0.09872381411028172,0.17986997351312303
07/06/2020-07/13/2113,77345,305,9,32,4599,117,29,1201,0.025440313111545987,0.2674494455316373
07/06/2020-07/13/2114,77346,305,14,34,7015,262,50,1405,0.03734853884533143,0.2074126870990734
07/06/2020-07/13/2115,77365,341,10,99,247,2,3,56,0.008097165991902834,0.2388663967611336
07/06/2020-07/13/2116,77396,598,4,44,6088,559,54,597,0.09181997371879107,0.10693166885676741
07/06/2020-07/13/2117,77401,112,23,5,4693,98,33,1091,0.020882164926486257,0.23950564670786278
07/06/2020-07/13/2118,77477,83,1,99,581,78,3,59,0.1342512908777969,0.10671256454388985
07/06/2020-07/13/2119,77489,110,5,97,133,11,0,26,0.08270676691729323,0.19548872180451127
07/06/2020-07/13/2120,77502,83,28,40,5688,1252,22,193,0.22011251758087202,0.03779887482419128
07/06/2020-07/13/2121,77504,28,0,47,4480,888,36,353,0.1982142857142857,0.08683035714285714
07/06/2020-07/13/2122,77532,557,8,46,6098,337,21,448,0.05526402099048869,0.07691046244670384
07/06/2020-07/13/2123,77598,69,0,48,3756,510,35,502,0.13578274760383385,0.14297124600638977
