,Date,Zipcode,Viral Load,Positivity Rate,Unvaccinated Rate,Population,Educational attainment ,Poverty,Poverty in Texas,Income,Health(lack of health insurance),Health(lack of Health insurance in TX),DP05_0001E,S1701_C01_001E,S1501_C01_004E
83,07/06/2020-07/13/2106,77094,389,0,20,,,,,,,,3859.504658077304,3859.504658077304,57.83666997026759
84,07/06/2020-07/13/2107,77096,112,16,26,,,,,,,,2668.281462957175,2664.09077836824,72.11140981556736
85,07/06/2020-07/13/2108,77098,45,27,0,,,,,,,,2335.9018841712254,2334.7690370756272,69.89658765303466
86,07/06/2020-07/13/2109,77099,145,13,36,,,,,,,,3961.707222222223,3951.391611111112,149.47033333333337
87,07/06/2020-07/13/2110,77336,525,30,51,,,,,,,,4669.731081767395,4657.912392077196,167.9149314372778
88,07/06/2020-07/13/2111,77338,597,4,44,,,,,,,,6858.422509118277,6802.012447171887,189.82041336189428
89,07/06/2020-07/13/2112,77339,155,43,38,,,,,,,,4153.57545517278,4151.006210520728,117.02107330537714
90,07/06/2020-07/13/2113,77345,305,9,32,,,,,,,,4599.746063786839,4580.717803794913,79.87969317723051
91,07/06/2020-07/13/2114,77346,305,14,34,,,,,,,,7015.0770311001515,7006.48239484861,138.1777298260036
92,07/06/2020-07/13/2115,77365,341,10,99,,,,,,,,247.10551896434248,246.95861912332498,8.886304792187145
93,07/06/2020-07/13/2116,77396,598,4,44,,,,,,,,6088.447022464135,5710.472992296693,135.74685179205684
94,07/06/2020-07/13/2117,77401,112,23,5,,,,,,,,4693.655730269125,4684.705624433021,25.337768370123978
95,07/06/2020-07/13/2118,77477,83,1,99,,,,,,,,581.9825732790279,581.856379782333,26.5746144087601
96,07/06/2020-07/13/2119,77489,110,5,97,,,,,,,,133.7002609019754,133.7002609019754,6.223928438315319
97,07/06/2020-07/13/2120,77502,83,28,40,,,,,,,,5688.639654777361,5675.9436340029015,206.39723516382801
98,07/06/2020-07/13/2121,77504,28,0,47,,,,,,,,4480.468530120482,4395.944578313252,238.14959036144577
99,07/06/2020-07/13/2122,77532,557,8,46,,,,,,,,6098.950052453665,6093.341764774448,237.54790768154797
100,07/06/2020-07/13/2123,77598,69,0,48,,,,,,,,3756.6706183680935,3714.0954262714968,203.57958287596045
